date,low,average,high
2021-04-15T00:20:50.980389,105,125,138
2021-04-15T00:29:09.995339,102,122,139
2021-04-15T00:30:26.273441,95,105,139
2021-04-15T00:31:34.052927,95,112,139
2021-04-15T00:33:52.501840,105,125,140
2021-04-15T00:34:45.616534,107,127,140
2021-04-15T00:37:07.555822,113,133,141
2021-04-15T00:42:17.387312,106,126,131
2021-04-15T00:44:01.188255,107,127,144
2021-04-15T00:44:54.854982,114,134,144
2021-04-15T00:45:54.452104,104,107,112
2021-04-15T00:46:09.998612,104,107,112
2021-04-15T00:46:44.494128,104,108,131
2021-04-15T00:46:55.506393,104,108,131
2021-04-15T00:47:24.769490,113,133,145
2021-04-15T00:47:56.217384,104,108,145
2021-04-15T00:48:04.078280,104,108,145
2021-04-15T00:48:44.093204,104,108,131
2021-04-15T00:48:56.679887,104,124,144
2021-04-15T00:49:24.127323,104,109,131
2021-04-15T00:49:55.932785,104,109,131
2021-04-15T00:50:03.993927,109,129,144
2021-04-15T00:50:44.966868,104,119,144
2021-04-15T00:50:55.998302,104,119,144
2021-04-15T00:51:24.090326,104,110,144
2021-04-15T00:51:55.180754,106,126,144
2021-04-15T00:52:06.396255,106,126,144
2021-04-15T00:52:44.061311,112,132,144
2021-04-15T00:53:34.519943,124,144,162
2021-04-15T00:54:15.580035,95,115,144
2021-04-15T00:54:51.265991,95,99,144
2021-04-15T00:55:30.858513,95,113,144
2021-04-15T00:56:10.941706,95,111,144
2021-04-15T00:56:50.835558,110,130,144
2021-04-15T00:57:31.024536,92,100,144
2021-04-15T00:58:11.104517,92,97,144
2021-04-15T00:58:51.500122,92,106,144
2021-04-15T00:59:30.732873,92,95,102
2021-04-15T01:00:11.014264,92,97,143
2021-04-15T01:00:51.582232,91,95,102
2021-04-15T01:01:30.747346,106,126,143
2021-04-15T01:02:10.932136,106,126,143
2021-04-15T01:02:51.268576,98,118,127
2021-04-15T01:03:30.690284,96,116,147
2021-04-15T01:04:10.589364,90,108,147
2021-04-15T01:04:50.948040,90,99,107
2021-04-15T01:05:31.269618,97,117,140
2021-04-15T01:06:10.869450,90,110,125
2021-04-15T01:06:51.356992,90,106,119
2021-04-15T01:07:31.228737,90,106,119
2021-04-15T01:08:11.160884,90,110,119
2021-04-15T01:08:51.429066,106,106,138
2021-04-15T01:09:31.019449,102,116,138
